fname,label
00143f3b262795987098.wav,Flute
004b9358100009ba99c0.wav,Cello
005127b4d395500095f8.wav,Fireworks
00758737efecae36c43a.wav,Cello
00abfb8903f34a38d7c3.wav,Double_bass
00c6c7aa6ba88ae9829c.wav,Fart
012f3fdda34a2c318758.wav,Double_bass
013493eff9ab3dc4b239.wav,Flute
01a1487a0b83b647926f.wav,Acoustic_guitar
01d3b989b50d507be5bf.wav,Fart
0221b4ae70b209ea434a.wav,Shatter
023c6e87ad1c2138b114.wav,Bass_drum
0240e8d1df2b829ca036.wav,Flute
0255073505d494542a3f.wav,Fireworks
0276f21fd913ff8f025d.wav,Bass_drum
02f246c0fb0d697669ee.wav,Acoustic_guitar
0369efc2fcc6372943bc.wav,Applause
03cf9caad4134d1f26d1.wav,Fart
0406a73724fe7459c66c.wav,Fart
042710a5596fbc928302.wav,Fireworks
0434e8dbc236179c05fa.wav,Fart
044dc2cc3a30049b406f.wav,Cello
0455471efb61dab6e141.wav,Fart
04a81d6c5f699b29f173.wav,Acoustic_guitar
04aabb78c3b88e26dd22.wav,Bass_drum
04c10f44f8b0df77f344.wav,Double_bass
050f98befa0111273b11.wav,Applause
05113ed98a0edf7bc3cb.wav,Applause
0534884f77bb9ce4a4de.wav,Flute
059a757cf6a1eaa766c6.wav,Fart
05bc40f66f884b73ad0d.wav,Double_bass
05d2342e8a64cd028c2c.wav,Fart
05e6ce6142cdedb6b2f7.wav,Bass_drum
061915afa08e1f5ff239.wav,Fireworks
06232ae71a101bbf237e.wav,Cello
062d469336cc31f5b070.wav,Applause
063edea7c6632aff01ee.wav,Shatter
064ad2b77c1e7c8d0dab.wav,Fireworks
065a0fea74cc25aa4885.wav,Double_bass
066277bf579b601bee1f.wav,Trumpet
0677b8c428a2efe453bd.wav,Applause
068b0d204c9f69fd6665.wav,Shatter
070514f62c2094ff3652.wav,Shatter
070bb683978f40789c53.wav,Cello
0713db811d57e9dacf5c.wav,Flute
07269c923f0bb827757e.wav,Shatter
075ff9e6332b8fa311a4.wav,Cello
07958da27a1813ed258f.wav,Acoustic_guitar
07aa1147da2718b246a9.wav,Fart
07d515cd3a2f03bbdfc9.wav,Acoustic_guitar
07d9b0caf92b327a214f.wav,Acoustic_guitar
08138e9cb2f7707dd7ad.wav,Cello
08355783b135fbbf1a61.wav,Bass_drum
08455c035510defe1049.wav,Double_bass
0865d5a85b04f79603e5.wav,Fireworks
0866b15f7683a6507b24.wav,Fireworks
08690598443ecf84d9c4.wav,Cello
086c04ee0144939c76b7.wav,Bass_drum
089c5abc38159e05d99e.wav,Applause
08ae7115a511a5ab0f0d.wav,Trumpet
08bb5e8089105459059a.wav,Acoustic_guitar
08e7747478e2b0a06cd2.wav,Applause
09323da25aedbd779e69.wav,Double_bass
094bc6103f30df8d7ced.wav,Shatter
097367650795ce59ac41.wav,Fart
097649a03f8d8e3c7202.wav,Fart
097c837103484cbd97e0.wav,Applause
09b69fb8bbb9242e89bf.wav,Double_bass
0a72a0d689eb2799f6c5.wav,Bass_drum
0a8ede16656ff7d7e6b7.wav,Double_bass
0a925cc8abcc9840aa90.wav,Cello
0aa4377cdbf7124ed7a7.wav,Shatter
0ac3ae524ea42b3a42be.wav,Bass_drum
0ac65111cb0cea31f844.wav,Fireworks
0afbfe73ec908d46f0cb.wav,Acoustic_guitar
0b07ac49d7e81a85cd6e.wav,Double_bass
0b08b1b4baa723580102.wav,Flute
0b5c832cf84a808ccd76.wav,Cello
0b9b49bea8fff279a2d3.wav,Double_bass
0bcd1deb67313c1b92c0.wav,Fireworks
0bf847acc23c9d4bb27f.wav,Cello
0bfd62b45ff1d351f8cf.wav,Shatter
0c129538e85527e40ed1.wav,Fireworks
0c31f70a72898154a52a.wav,Fart
0c54bd42259e3762b263.wav,Fireworks
0c5e14d128c7d870053b.wav,Acoustic_guitar
0c7f220abbfefb53363e.wav,Acoustic_guitar
0c931dcbc652937f38c9.wav,Bass_drum
0ca16b84e5345f593bc2.wav,Double_bass
0cb09c208fe9fc981a60.wav,Double_bass
0d2053b9ddf4ba3b7b5a.wav,Acoustic_guitar
0d2e1b532e9bc37a201f.wav,Shatter
0d56b02b8af33ea9eb4c.wav,Fireworks
0d65502c0e8b2abd83af.wav,Fart
0d6fc4147ce88779891e.wav,Bass_drum
0d794bca0ddb4ca44b54.wav,Double_bass
0d7cc1bee5b353e1b859.wav,Double_bass
0da95e22fef5f0dbe932.wav,Bass_drum
0db633631eed61a6873e.wav,Cello
0dee0f711d42de85c841.wav,Trumpet
0df52255380bb3e802a6.wav,Trumpet
0df5eb2c8296289d01e4.wav,Bass_drum
0e03436ae714b46e04ca.wav,Acoustic_guitar
0e17f4725d9902451246.wav,Trumpet
0e241ee129a5555c2316.wav,Double_bass
0e8be59c89c5db3a978a.wav,Applause
0e930ba5149fc0653c0e.wav,Fart
0e996c60406d99e14e06.wav,Flute
0ebe863ffd88b369459d.wav,Flute
0ec36aa9e1d4b3ab155a.wav,Cello
0efad4d954b4bbc96cd2.wav,Bass_drum
0f11db107701328c3240.wav,Flute
0f18302b6e131e2e0ff7.wav,Applause
0f3776f308fef9771c2c.wav,Double_bass
0f91dc5737fef9208ebd.wav,Acoustic_guitar
0fd5ece9d53ad4898f34.wav,Shatter
0fe07d4cfbe9927dd5ff.wav,Shatter
100f1a4bd10082f49613.wav,Double_bass
1055e33935b3df8064fa.wav,Fireworks
107c246885ea0ac43be3.wav,Acoustic_guitar
10a3f059ab694c7d299c.wav,Trumpet
